-0.4505,0.0632,1
-0.4517,0.0083,1
-0.4923,-0.0167,1
-0.497,-0.0739,1
-0.4517,-0.1037,1
-0.41,-0.0775,1
-0.3731,-0.1156,1
-0.3576,-0.0739,1
-0.4053,-0.0155,1
-0.3647,0.006,1
-0.3218,-0.0191,1
-0.2789,0.0024,1
-0.2765,0.0632,1
-0.2348,-0.0191,1
-0.1943,0.0036,1
-0.1454,-0.0191,1
-0.1073,0.0072,1
-0.1049,0.0644,1
-0.062,-0.0191,1
-0.0191,0.0046,1
0.0238,-0.0191,1
0.0667,0.0048,1
0.1073,-0.0179,1
0.1108,-0.0751,1
0.1526,0.0072,1
0.1955,-0.0191,1
0.2408,0.0072,1
0.2825,-0.0179,1
0.2837,-0.0787,1
0.3266,0.0048,1
0.3659,-0.0167,1
0.4076,0.0095,1
0.4529,-0.0203,1
0.4565,-0.0739,1
0.497,0.0048,1
0.4947,0.0656,1
0.4553,0.0882,1
0.41,0.0679,1
0.3635,0.0667,1
0.3766,0.1037,1

